Description,ANOnto,AROnto,CBOOnto,CBOOnto2,CROnto,DITOnto,INROnto,LCOMOnto,NACOnto,NOCOnto,NOMOnto,POnto,PROnto,RFCOnto,RROnto,TMOnto,TMOnto2,WMCOnto,WMCOnto2
EDAM,1.150195254,2.422048663,1.224091319,1.224091319,0,10,1.224091319,4.073869105,1.208317861,6.407232704,0.181135476,1.230099129,0.12890124,1.405226795,0.87109876,0.211838942,2.095035461,6.287040475,1.543260304
EFO,1.0298493,2.937297088,1.361244367,1.361244367,0,16,1.361244367,8.341281056,1.377560576,7.911010983,0.579444687,1.224451228,0.298576779,1.940689054,0.701423221,0.136557472,2.660397445,19.00099497,2.277946857
ENVO,1.064254703,14.2748191,1.307525326,1.307525326,0,37,1.307525326,11.52783037,1.316381533,3.418463867,0.440665702,1.241678726,0.252069536,1.748191027,0.747930464,0.241713707,2.273053892,42.80993672,3.713616124
EO,1.058614565,0,1.028419183,1.028419183,0,11,1.028419183,6.420560748,1.029411765,3.735483871,0.001776199,0.991119005,0.001724138,1.030195382,0.998275862,0.03024911,2,6.735294118,1.049019608
EOL,0.9984,0,1.0176,1.0176,1.9968,12,1.0176,7.520971302,1.011820331,3.148514851,0,1.016,0,1.0176,1,0.019230769,2,8.054373522,1.070921986
FALDO,1.684210526,0.368421053,1.052631579,1.052631579,0,4,1.052631579,2.461538462,1.181818182,2.5,1.894736842,0.947368421,0.642857143,2.947368421,0.357142857,0.111111111,2,2.909090909,1.181818182
FLOPO,0.836239233,0,1.300361211,1.300361211,0,3,1.300361211,1.000760456,1.222315813,3.408594319,1.681543484,0.008891359,0.563915905,2.981904696,0.436084095,0,0,0.073899371,0.073843217
FOODIE,0,0,1.242647059,1.242647059,0.183823529,7,1.220588235,3.092592593,1.337349398,3.132075472,2.536764706,0.470588235,0.675146771,3.779411765,0.324853229,0.155555556,2.761904762,4.024096386,1.301204819
FOODON,0.063827599,0,1.062901816,1.062901816,0,21,1.062901816,10.08708377,1.047939725,4.649268841,0.009823587,0.058992954,0.009157597,1.072725402,0.990842403,0.000925831,2.277777778,22.5207361,2.232631017
GACS,0.5,0.142857143,0.928571429,0.928571429,41771.28571,3,0.928571429,1.545454545,1,4.333333333,2272.857143,0.428571429,0.999591619,2273.785714,0.000408381,0,0,1.545454545,1
