Description,ANOnto,AROnto,CBOOnto,CBOOnto2,CROnto,DITOnto,INROnto,LCOMOnto,NACOnto,NOCOnto,NOMOnto,POnto,PROnto,RFCOnto,RROnto,TMOnto,TMOnto2,WMCOnto,WMCOnto2
TGMA,1.464879357,0,1.019839142,1.019839142,0.000536193,8,1.019839142,2.329908676,1.02161215,12.43137255,1.048793566,0.418230563,0.506998445,2.068632708,0.493001555,0.018240343,2.117647059,2.384345794,1.023364486
TO,0.382332956,0,1.252548131,1.252548131,0,20,1.252548131,8.164459322,1.241568915,3.278008299,0.289920725,1.193657984,0.187958884,1.542468856,0.812041116,0.209333937,2.149350649,20.56378299,2.518695015
TTO,0.999793314,0,0.999974164,0.999974164,2.58358E-05,20,0.999974164,16.72443165,1,6.771343597,5.16716E-05,0.998269002,5.16702E-05,1.000025836,0.99994833,0,0,16.72443165,1
UBERON,0.787412374,0,2.235141725,2.235141725,0,39,1.52499238,9.916982104,1.51981402,5.261303891,1.21741339,1.113837245,0.443921685,3.452555115,0.556078315,0.286258573,2.333629104,101.947711,10.28011445
UO,0.884210526,0,1.028947368,1.028947368,0.002631579,6,1.028947368,3.045751634,1.040816327,4.546511628,0.128947368,0.897368421,0.111363636,1.157894737,0.888636364,0.031662269,2,3.170068027,1.040816327
UPHENO,0.99965429,0,1.401680149,1.401680149,0,25,1.401680149,10.61639681,1.363026267,4.114990358,0,1.423598147,0,1.401680149,1,0.333414002,2.270738283,125.3383841,11.80611335
VARIO,1,0,1.012787724,1.012787724,0.002557545,10,1.012787724,5.788321168,1.02238806,3.219512195,0.081841432,1.00511509,0.074766355,1.094629156,0.925233645,0.015384615,2,5.917910448,1.02238806
VO,1.028076333,3.350515464,2.372888791,2.372888791,0.015354244,21,1.610002193,9.572081334,1.753881541,6.790009251,1.267163852,0.859837684,0.440420828,3.640052643,0.559579172,0.000219394,2,24.09258194,2.516963772
VT,1.016045845,0,1.159598854,1.159598854,0.000286533,16,1.159598854,8.851448531,1.149062643,3.10590944,0.000859599,1.136389685,0.000740741,1.160458453,0.999259259,0.152765835,2.069418386,19.69821674,2.225422954
VTO,1.000588027,0,0.999990666,0.999990666,0,40,0.999990666,22.47191318,1,4.675001091,0,0.998189251,0,0.999990666,1,0,0,22.47191318,1
WBBT,0.935937911,0,1.179558011,1.179558011,0,10,1.179558011,4.484922825,1.170622932,13.77419355,0.921994212,1.075111813,0.438720581,2.101552223,0.561279419,0.137218787,2.309683605,6.312185297,1.407423392
WBLS,1.004092769,0,1.020463847,1.020463847,0,8,1.020463847,1.386206897,1.017094017,24.12903226,1.82946794,0.118690314,0.64193394,2.849931787,0.35806606,0.020491803,2.066666667,1.431623932,1.032763533
WBPHENOTYPE,1.00862069,0,1.151888342,1.151888342,0,14,1.151888342,7.75297383,1.170113409,2.994663821,0,1.13998358,0,1.151888342,1,0.142094456,2.072254335,13.04402935,1.68245497
XAO,1.00065703,0,1.012483574,1.012483574,0.00065703,12,1.012483574,5.401931649,1.013584906,7.822335025,2.88173456,0.992115637,0.740003374,3.894218134,0.259996626,0.013149244,2,5.48754717,1.015849057
XCO,1.007968127,0,1.141434263,1.141434263,0.001992032,9,1.141434263,5.097014925,1.194078947,2.893939394,0.111553785,1.107569721,0.089030207,1.252988048,0.910969793,0.131736527,2.090909091,6.740131579,1.322368421
ZECO,0.993288591,0,1.013422819,1.013422819,0,9,1.013422819,5.305263158,1.032608696,2.649122807,0.033557047,1.006711409,0.032051282,1.046979866,0.967948718,0.02027027,2,5.47826087,1.032608696
ZFA,1.029564652,0,1.03151397,1.03151397,0.000324886,13,1.03151397,6.626363904,1.02727622,6.684210526,2.807667316,1.013645224,0.731319286,3.839181287,0.268680714,0.030874228,2.031578947,8.632347292,1.302727622
